Year,Anomaly,StormCount,AvgMaxWind
2000,0.41250000000000003,41,98.5
2001,0.5499999999999999,38,102.3
2002,0.6224999999999999,35,100.1
2003,0.63,34,101.7
2004,0.5599999999999999,36,99.8
2005,0.6958333333333333,42,105.2
2006,0.655,39,103.4
2007,0.645,37,104.1
2008,0.545,38,102.9
2009,0.6675,36,101.5
2010,0.7366666666666667,40,106.7
2011,0.6158333333333333,39,108.2
2012,0.655,41,107.5
2013,0.6791666666666667,38,109.3
2014,0.7575,37,110.1
2015,0.9166666666666666,39,111.4
2016,1.0308333333333333,40,112.6
2017,0.9391666666666666,45,115.2
2018,0.8733333333333334,42,113.8
2019,0.9858333333333333,38,114.5
2020,1.0191666666666668,52,110.0
2021,0.8666666666666667,40,126.0
2022,0.8991666666666668,35,123.3
2023,1.1883333333333332,41,125.4
2024,1.2891666666666668,33,127.0
